cleaned_text,sentiment,text_length
white house point man homeland security shared martial law option post keep trump office,0,88
luigi mangione pleads fans stop sending many photos,1,51
trump posts deranged ai video vision trump gaza,0,47
lying james comer threatens sgt arms forcibly remove congressman calling trump grifter,1,86
gop wants musk starlink get cut billion biden internet plan,1,59
musk attempt overhaul faa reveals shocking lack air travel knowledge,-1,68
really charge doge elon musk government lawyers know judges raising constitutional alarms role world wealthiest man,1,115
showing exactly working gop votes gut medicaid tax cuts house republicans ignored demands constituents instead chosen side billionaire donors,1,141
foreign aid covert action,-1,25
elon musk found stooge fall guy gal,0,35
bernie sanders stopped arms sales israel stop trying,0,52
trump faces truth social backlash ai video gaza topless netanyahu bearded bellydancers,1,86
us russia meet tomorrow istanbul lavrov says,0,44
va fires workers second round cuts,-1,34
marjorie taylor greene says federal workers deserve paychecks,0,61
dems left turn establishment,0,28
doge latest cut glenn youngkin balls,1,36
mass consumer economic blackout planned feb,1,43
musk called trump f ing moron oval office meeting,-1,49
doj demands safe space mean judge lady made sad hard questions,-1,62
intelligence staffers fired engaging explicit chats gabbard,1,59
nearly percent contracts canceled musk doge expected produce savings,0,68
donald trump revenge tour full swing president using powers state attack political opponents threaten federal investigations ban media organizations,1,148
justified,1,9
trump says ukraine zelenskyy sign big minerals deal russia ukraine war news,0,75
white house point man homeland security shared martial law option post keep trump office,0,88
luigi mangione pleads fans stop sending many photos,1,51
trump posts deranged ai video vision trump gaza,0,47
lying james comer threatens sgt arms forcibly remove congressman calling trump grifter,1,86
gop wants musk starlink get cut billion biden internet plan,1,59
musk attempt overhaul faa reveals shocking lack air travel knowledge,-1,68
really charge doge elon musk government lawyers know judges raising constitutional alarms role world wealthiest man,1,115
showing exactly working gop votes gut medicaid tax cuts house republicans ignored demands constituents instead chosen side billionaire donors,1,141
foreign aid covert action,-1,25
elon musk found stooge fall guy gal,0,35
bernie sanders stopped arms sales israel stop trying,0,52
trump faces truth social backlash ai video gaza topless netanyahu bearded bellydancers,1,86
us russia meet tomorrow istanbul lavrov says,0,44
va fires workers second round cuts,-1,34
marjorie taylor greene says federal workers deserve paychecks,0,61
dems left turn establishment,0,28
doge latest cut glenn youngkin balls,1,36
mass consumer economic blackout planned feb,1,43
musk called trump f ing moron oval office meeting,-1,49
doj demands safe space mean judge lady made sad hard questions,-1,62
intelligence staffers fired engaging explicit chats gabbard,1,59
nearly percent contracts canceled musk doge expected produce savings,0,68
donald trump revenge tour full swing president using powers state attack political opponents threaten federal investigations ban media organizations,1,148
justified,1,9
trump says ukraine zelenskyy sign big minerals deal russia ukraine war news,0,75
white house point man homeland security shared martial law option post keep trump office,0,88
luigi mangione pleads fans stop sending many photos,1,51
trump posts deranged ai video vision trump gaza,0,47
lying james comer threatens sgt arms forcibly remove congressman calling trump grifter,1,86
gop wants musk starlink get cut billion biden internet plan,1,59
musk attempt overhaul faa reveals shocking lack air travel knowledge,-1,68
really charge doge elon musk government lawyers know judges raising constitutional alarms role world wealthiest man,1,115
showing exactly working gop votes gut medicaid tax cuts house republicans ignored demands constituents instead chosen side billionaire donors,1,141
foreign aid covert action,-1,25
elon musk found stooge fall guy gal,0,35
bernie sanders stopped arms sales israel stop trying,0,52
trump faces truth social backlash ai video gaza topless netanyahu bearded bellydancers,1,86
us russia meet tomorrow istanbul lavrov says,0,44
va fires workers second round cuts,-1,34
marjorie taylor greene says federal workers deserve paychecks,0,61
dems left turn establishment,0,28
doge latest cut glenn youngkin balls,1,36
mass consumer economic blackout planned feb,1,43
musk called trump f ing moron oval office meeting,-1,49
doj demands safe space mean judge lady made sad hard questions,-1,62
intelligence staffers fired engaging explicit chats gabbard,1,59
nearly percent contracts canceled musk doge expected produce savings,0,68
donald trump revenge tour full swing president using powers state attack political opponents threaten federal investigations ban media organizations,1,148
justified,1,9
trump says ukraine zelenskyy sign big minerals deal russia ukraine war news,0,75
white house point man homeland security shared martial law option post keep trump office,0,88
luigi mangione pleads fans stop sending many photos,1,51
trump posts deranged ai video vision trump gaza,0,47
lying james comer threatens sgt arms forcibly remove congressman calling trump grifter,1,86
gop wants musk starlink get cut billion biden internet plan,1,59
musk attempt overhaul faa reveals shocking lack air travel knowledge,-1,68
really charge doge elon musk government lawyers know judges raising constitutional alarms role world wealthiest man,1,115
